,Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
0,1005.0,CA,4.235.888,-7.105.682,92101,c:6669,San Diego,,Bandsintown,1.0,01/01/2007,,04/01/2009,01/01/2010,22.493,30.027,46.685,67.041,3.0,3.0,375000.0,3.0,CA,1.0,0.0,0.0,0.0,0.0,music,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:6669,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,acquired
1,204.0,CA,37.238.916,-121.973.718,95032,c:16283,Los Gatos,,TriCipher,1.0,01/01/2000,,2/14/2005,12/28/2009,5.126,99.973,70.055,70.055,9.0,4.0,40100000.0,1.0,CA,1.0,0.0,0.0,0.0,0.0,enterprise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,c:16283,1.0,0.0,0.0,1.0,1.0,1.0,4.75,1.0,acquired
2,1001.0,CA,32.901.049,-117.192.656,92121,c:65620,San Diego,San Diego CA 92121,Plixi,1.0,3/18/2009,,3/30/2010,3/30/2010,10.329,10.329,14.575,22.055,5.0,1.0,2600000.0,2.0,CA,1.0,0.0,0.0,0.0,0.0,web,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:65620,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,acquired
3,738.0,CA,37.320.309,-12.205.004,95014,c:42668,Cupertino,Cupertino CA 95014,Solidcore Systems,1.0,01/01/2002,,2/17/2005,4/25/2007,31.315,53.151,60.027,60.027,5.0,3.0,40000000.0,1.0,CA,1.0,0.0,0.0,0.0,0.0,software,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:42668,0.0,0.0,0.0,1.0,1.0,1.0,33.333,1.0,acquired
4,1002.0,CA,37.779.281,-122.419.236,94105,c:65806,San Francisco,San Francisco CA 94105,Inhale Digital,0.0,08/01/2010,10/01/2012,08/01/2010,04/01/2012,0.0,16.685,0.0384,0.0384,2.0,2.0,1300000.0,1.0,CA,1.0,0.0,0.0,0.0,0.0,games_video,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,c:65806,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,closed
5,379.0,CA,37.406.914,-12.209.037,94043,c:22898,Mountain View,Mountain View CA 94043,Matisse Networks,0.0,01/01/2002,2/15/2009,7/18/2006,7/18/2006,45.452,45.452,50.027,50.027,3.0,1.0,7500000.0,1.0,CA,1.0,0.0,0.0,0.0,0.0,network_hosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:22898,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,closed
6,195.0,CA,373.915.589,-1.220.702.643,94041,c:16191,Mountain View,,RingCube Technologies,1.0,01/01/2005,,9/21/2006,3/18/2010,17.205,5.211,3.0,66.082,6.0,3.0,26000000.0,2.0,CA,1.0,0.0,0.0,0.0,0.0,software,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:16191,1.0,0.0,1.0,1.0,0.0,0.0,16.667,1.0,acquired
7,875.0,CA,38.057.107,-122.513.742,94901,c:5192,San Rafael,,ClairMail,1.0,01/01/2004,,8/24/2005,10/04/2010,16.466,67.616,56.055,73.616,25.0,3.0,34100000.0,3.0,CA,1.0,0.0,0.0,0.0,0.0,finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:5192,0.0,0.0,1.0,1.0,0.0,1.0,3.5,1.0,acquired
8,16.0,MA,42.712.207,-73.203.599,1267,c:1043,Williamstown,Williamstown MA 1267,VoodooVox,1.0,01/01/2002,,08/02/2005,02/08/2013,35.863,111.123,80.055,99.945,13.0,3.0,9650000.0,4.0,MA,0.0,0.0,1.0,0.0,0.0,mobile,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:1043,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,acquired
9,846.0,CA,37.427.235,-122.145.783,94306,c:498,Palo Alto,,Doostang,1.0,06/01/2005,,02/01/2007,02/05/2010,16.712,46.849,29.178,61.151,14.0,3.0,5750000.0,4.0,CA,1.0,0.0,0.0,0.0,0.0,web,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:498,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,acquired
